//HSK 3.0 (2026)/HSK1
爱,ai4
自己,zi4 ji3
走,zou3
走路
最,zui4
左,zuo3
左边,zuo3 bian1
足球,zu2 qiu2
//HSK 3.0 (2026)/HSK3
矮,ai3
爱人,ai4 ren5
安静,an1 jing4
安全,an1 quan2
阿姨,a1 yi2
把,ba3
办,ban4
搬,ban1
办法,ban4 fa3
办公室,ban4 gong1 shi4
帮助,bang1 zhu4
班级,ban1 ji2
搬家,ban1 jia1
半天,ban4 tian1
饱,bao3
报纸,bao4 zhi3
被,bei4
北,bei3
北方,bei3 fang1
变,bian4
遍,bian4
变成,bian4 cheng2
变化,bian4 hua4
表演,biao3 yan3
别的,bie2 de5
别人,bie2 ren2
笔记,bi3 ji4
比较,bi3 jiao4
笔记本,bi3 ji4 ben3
冰,bing1
冰激凌
病人,bing4 ren2
宾馆,bin1 guan3
冰箱,bing1 xiang1
比如,bi3 ru2
比赛,bi3 sai4
必须,bi4 xu1
不同,bu4 tong2
不但
不见
不久
不行,bu4 xing2
不用,bu4 yong4
才,cai2
菜单,cai4 dan1
参加,can1 jia1
草,cao3
草地,cao3 di4
层,ceng2
查,cha2
差,cha4
差不多,cha4 bu5 duo1
尝,chang2
常,chang2
常见,chang2 jian4
常用,chang2 yong4
常常
成绩,cheng2 ji1
城市,cheng2 shi4
衬衫,chen4 shan1
迟到,chi2 dao4
船,chuan2
出发,chu1 fa1
除了,chu2 le5
春天,chun1 tian1
出生,chu1 sheng1
出院,chu1 yuan4
初中,chu1 zhong1
词典,ci2 dian3
聪明,cong1 ming2
大概,da4 gai4
带,dai4
蛋糕,dan4 gao1
当然,dang1 ran2
担心,dan1 xin1
到处,dao4 chu4
大人,da4 ren5
打扫,da3 sao3
打算,da3 suan4
大小,da4 xiao3
大熊猫,da4 xiong2 mao1
大衣,da4 yi1
得,de2
得到,de2 dao4
得分,de2 fen1
的话,de5 hua4
得,dei3
灯,deng1
地,di4
电,dian4
电梯,dian4 ti1
电子书
地点,di4 dian3
地方,di4 fang5
地图,di4 tu2
丢,diu1
东,dong1
东北,dong1 bei3
懂得,dong3 de5
东方,dong1 fang1
东南,dong1 nan2
冬天,dong1 tian1
动物,dong4 wu4
动物园,dong4 wu4 yuan2
段,duan4
短,duan3
短裤,duan3 ku4
锻炼,duan4 lian4
对话,dui4 hua4
饿,e4
耳朵,er3 duo5
耳机,er3 ji1
而且,er2 qie3
发,fa1
放,fang4
方便,fang1 bian4
方便面
方法,fang1 fa3
放假,fang4 jia4
方向,fang1 xiang4
放心,fang4 xin1
放学,fang4 xue2
房子,fang2 zi5
发烧,fa1 shao1
发生,fa1 sheng1
发现,fa1 xian4
发展,fa1 zhan3
风,feng1
封,feng1
分开,fen1 kai1
附近,fu4 jin4
夫妻,fu1 qi1
服务,fu2 wu4
复习,fu4 xi2
该,gai1
干,gan4
感兴趣
感到,gan3 dao4
刚,gang1
刚才,gang1 cai2
刚刚,gang1 gang5
干净,gan1 jing4
感冒,gan3 mao4
高铁
更,geng4
根据,gen1 ju4
公斤,gong1 jin1
公园,gong1 yuan2
工作日
刮,gua1
关,guan1
关机
关系,guan1 xi4
关心,guan1 xin1
关于,guan1 yu2
关注,guan1 zhu4
国家,guo2 jia1
过节
故事,gu4 shi4
海,hai3
害怕,hai4 pa4
好多,hao3 duo1
好久,hao3 jiu3
号码,hao4 ma3
好像,hao3 xiang4
河,he2
黑板,hei1 ban3
合适,he2 shi4
红绿灯,hong2 lu:4 deng1
后来,hou4 lai2
后年,hou4 nian2
后天,hou4 tian1
画家,hua4 jia1
还,huan2
换,huan4
黄色,huang2 se4
环境,huan2 jing4
欢迎,huan1 ying2
花园,hua1 yuan2
回答,hui2 da2
会议,hui4 yi4
或,huo4
或者,huo4 zhe3
护照,hu4 zhao4
极,ji2
急,ji2
记,ji4
季,ji4
鸡,ji1
加,jia1
检查,jian3 cha2
坚持,jian1 chi2
简单,jian3 dan1
讲,jiang3
健康,jian4 kang1
见面,jian4 mian4
检票
角,jiao3
脚,jiao3
假期,jia4 qi1
节,jie2
借,jie4
接,jie1
街,jie1
结婚,jie2 hun1
解决,jie3 jue2
姐妹,jie3 mei4
节目,jie2 mu4
节日,jie2 ri4
结束,jie2 shu4
几乎,ji1 hu1
机会,ji1 hui4
季节,ji4 jie2
斤,jin1
经过,jing1 guo4
经理,jing1 li3
旧,jiu4
久,jiu3
酒,jiu3
句,ju4
决定,jue2 ding4
句子,ju4 zi5
卡,ka3
开花
开会,kai1 hui4
开机
开心,kai1 xin1
看来,kan4 lai5
刻,ke4
可,ke3
渴,ke3
可爱,ke3 ai4
课本,ke4 ben3
客人,ke4 ren5
可是,ke3 shi4
课文,ke4 wen2
空调,kong1 tiao2
哭,ku1
筷子,kuai4 zi5
矿泉水,kuang4 quan2 shui3
来自,lai2 zi4
蓝,lan2
老,lao3
老人,lao3 ren2
练,lian4
脸,lian3
辆,liang4
凉快,liang2 kuai5
练习,lian4 xi2
聊,liao2
了解,liao3 jie3
聊天儿,liao2 tian1 er5
离开,li2 kai1
邻居,lin2 ju1
历史,li4 shi3
留学,liu2 xue2
留学生,liu2 xue2 sheng1
礼物,li3 wu4
楼梯,lou2 ti1
路边,lu4 bian1
路口,lu4 kou3
马,ma3
马路,ma3 lu4
满意,man3 yi4
毛,mao2
马上,ma3 shang4
米,mi3
面前,mian4 qian2
明白,ming2 bai5
名单,ming2 dan1
名人,ming2 ren2
南,nan2
难,nan2
南方,nan2 fang1
难过,nan2 guo4
难看,nan2 kan4
男人,nan2 ren2
男生,nan2 sheng1
难题,nan2 ti2
难听
年级,nian2 ji2
年轻,nian2 qing1
牛,niu2
努力,nu3 li4
女人,nu:3 ren2
女生,nu:3 sheng1
爬,pa2
怕,pa4
拍照,pai1 zhao4
胖,pang4
盘子,pan2 zi5
啤酒,pi2 jiu3
平时,ping2 shi2
瓶子,ping2 zi5
骑,qi2
起,qi3
铅笔,qian1 bi3
前年,qian2 nian2
前天,qian2 tian1
汽车,qi4 che1
起飞,qi3 fei1
奇怪,qi2 guai4
清楚,qing1 chu5
请假,qing3 jia4
请客,qing3 ke4
其实,qi2 shi2
其他,qi2 ta1
球场,qiu2 chang3
秋天,qiu1 tian1
裙子,qun2 zi5
然后,ran2 hou4
认得,ren4 de5
认为,ren4 wei2
认真,ren4 zhen1
热情,re4 qing2
容易,rong2 yi4
如果,ru2 guo3
伞,san3
扫,sao3
沙发,sha1 fa1
山,shan1
上衣,shang4 yi1
勺子,shao2 zi5
身边,shen1 bian1
声,sheng1
身高,shen1 gao1
生活,sheng1 huo2
生气,sheng1 qi4
声音,sheng1 yin1
市,shi4
试,shi4
室,shi4
世界,shi4 jie4
受,shou4
瘦,shou4
收,shou1
受到,shou4 dao4
收到,shou1 dao4
树,shu4
刷,shua1
双,shuang1
水平,shui3 ping2
叔叔,shu1 shu5
数学,shu4 xue2
四季,si4 ji4
司机,si1 ji1
太阳,tai4 yang2
糖,tang2
特别,te4 bie2
甜,tian2
跳,tiao4
提高,ti2 gao1
挺,ting3
听说,ting1 shuo1
体育,ti3 yu4
体育馆,ti3 yu4 guan3
同事,tong2 shi4
同意,tong2 yi4
头发,tou2 fa5
腿,tui3
突然,tu1 ran2
图书馆,tu2 shu1 guan3
外地,wai4 di4
外卖
外语,wai4 yu3
碗,wan3
完成,wan2 cheng2
晚点
忘记,wang4 ji4
网球,wang3 qiu2
网站,wang3 zhan4
晚会,wan3 hui4
为,wei4
为了,wei4 le5
卫生间
文化,wen2 hua4
屋子,wu1 zi5
西,xi1
喜爱,xi3 ai4
先,xian1
向,xiang4
像,xiang4
相机
香蕉,xiang1 jiao1
相信,xiang1 xin4
箱子,xiang1 zi3
小区
小心,xiao3 xin1
校园,xiao4 yuan2
校长,xiao4 zhang3
夏天,xia4 tian1
西北,xi1 bei3
鞋,xie2
西方,xi1 fang1
西瓜,xi1 gua1
习惯,xi2 guan4
信,xin4
西南,xi1 nan2
行,xing2
行李,xing2 li5
兴趣,xing4 qu5
心里,xin1 li3
新年,xin1 nian2
新闻,xin1 wen2
新鲜,xin1 xian1
信用卡,xin4 yong4 ka3
休假,xiu1 jia4
洗衣机,xi3 yi1 ji1
洗澡,xi3 zao3
选,xuan3
选择,xuan3 ze2
学期,xue2 qi1
需要,xu1 yao4
牙,ya2
羊,yang2
养,yang3
要求,yao1 qiu2
牙刷,ya2 shua1
页,ye4
一般,yi4 ban1
一边,yi1 bian1
一定,yi1 ding4
一共,yi2 gong4
以后,yi3 hou4
一块儿,yi1 kuai4 er5
应该,ying1 gai1
影响,ying3 xiang3
银行,yin2 hang2
银行卡,yin2 hang2 ka3
饮料,yin3 liao4
音乐,yin1 yue4
以前,yi3 qian2
以上,yi3 shang4
以外,yi3 wai4
以为,yi3 wei2
以下,yi3 xia4
一样,yi2 yang4
一直,yi1 zhi2
用,yong4
又,you4
有关,you3 guan1
邮件,you2 jian4
游客,you2 ke4
有名,you3 ming2
游戏,you2 xi4
邮箱,you2 xiang1
有用,you3 yong4
园,yuan2
员,yuan2
愿意,yuan4 yi4
遇到,yu4 dao4
越,yue4
月亮,yue4 liang4
遇见,yu4 jian4
羽毛球,yu3 mao2 qiu2
运动会,yun4 dong4 hui4
运动员,yun4 dong4 yuan2
语言,yu3 yan2
雨衣,yu3 yi1
脏,zang1
咱们,zan2 men5
怎么办,zen3 me5 ban4
怎样,zen3 yang4
长,zhang3
张,zhang1
照,zhao4
照顾,zhao4 gu5
着急,zhao2 ji2
照片,zhao4 pian4
照相,zhao4 xiang4
只,zhi3
纸,zhi3
只能,zhi3 neng2
直到
只是,zhi3 shi4
只要,zhi3 yao4
只有,zhi3 you3
种,zhong3
中,zhong1
中间,zhong1 jian1
重要,zhong4 yao4
终于,zhong1 yu2
周末,zhou1 mo4
主要,zhu3 yao4
注意,zhu4 yi4
住院,zhu4 yuan4
子,zi5
字典,zi4 dian3
自行车,zi4 xing2 che1
总,zong3
总是,zong3 shi4
嘴,zui3
最好,zui4 hao3
最后,zui4 hou4
最近,zui4 jin4
做客,zuo4 ke4
作业,zuo4 ye4
//HSK 3.0 (2026)/HSK4
啊,a1
爱情,ai4 qing2
爱心
按,an4
安检
安排,an1 pai2
按时,an4 shi2
按照,an4 zhao4
白酒,bai2 jiu3
棒,bang4
办公,ban4 gong1
办理,ban4 li3
办事,ban4 shi4
抱,bao4
保护,bao3 hu4
报考,bao4 kao3
报名,bao4 ming2
抱歉,bao4 qian4
保证,bao3 zheng4
倍,bei4
背,bei1
背包,bei1 bao1
北部,bei3 bu4
笨,ben4
本科,ben3 ke1
本来,ben3 lai2
便于,bian4 yu2
表,biao3
表格,biao3 ge2
表示,biao3 shi4
表现,biao3 xian4
表扬,biao3 yang2
标准,biao1 zhun3
并,bing4
饼干,bing3 gan1
并且,bing4 qie3
笔试,bi3 shi4
毕业,bi4 ye4
毕业生,bi4 ye4 sheng1
鼻子,bi2 zi5
播放,bo1 fang4
博士,bo2 shi4
步,bu4
部,bu4
不必,bu4 bi4
不便,bu4 bian4
不得不,bu4 de2 bu4
不断,bu4 duan4
部分,bu4 fen5
不够,bu4 gou4
不管,bu4 guan3
不光,bu4 guang1
不过,bu4 guo4
不仅,bu4 jin3
不论,bu4 lun4
不满,bu4 man3
部门,bu4 men2
不如,bu4 ru2
擦,ca1
猜,cai1
材料,cai2 liao4
参观,can1 guan1
参赛
餐厅,can1 ting1
操场,cao1 chang3
厕所,ce4 suo3
查看,cha2 kan4
厂,chang3
场,chang3
产生,chan3 sheng1
超过,chao1 guo4
茶叶,cha2 ye4
差点儿
差一点儿
查找,cha2 zhao3
城,cheng2
乘,cheng2
成功,cheng2 gong1
乘客,cheng2 ke4
诚实,cheng2 shi2
成为,cheng2 wei2
乘坐,cheng2 zuo4
车速
车位
迟,chi2
吃惊,chi1 jing1
重,chong2
重新,chong2 xin1
窗,chuang1
窗户,chuang1 hu5
出差,chu1 chai1
厨房,chu2 fang2
吹,chui1
出口,chu1 kou3
厨师,chu2 shi1
出现,chu1 xian4
出行
出租,chu1 zu1
此,ci3
此次,ci3 ci4
此外,ci3 wai4
词语,ci2 yu3
从此,cong2 ci3
从来,cong2 lai2
从中,cong2 zhong1
粗,cu1
存,cun2
村,cun1
错过,cuo4 guo4
错误,cuo4 wu4
粗心,cu1 xin1
答,da2
打招呼,da3 zhao1 hu5
答案
大巴
打败
大大,da4 da4
达到,da2 dao4
打工,da3 gong1
戴,dai4
待,dai1
大夫,dai4 fu5
袋子,dai4 zi5
大量,da4 liang4
当,dang1
当时,dang1 shi2
单位,dan1 wei4
倒,dao4
道,dao4
刀,dao1
到底,dao4 di3
到来,dao4 lai2
道路,dao4 lu4
道歉,dao4 qian4
导游,dao3 you2
打扰,da3 rao3
大赛
大厅,da4 ting1
打印,da3 yin4
答应,da1 ying5
打印机,da3 yin4 ji1
大约,da4 yue1
打折
打针,da3 zhen1
大自然,da4 zi4 ran2
等到,deng3 dao4
登机
得意,de2 yi4
底,di3
低,di1
电动车
点名,dian3 ming2
电视剧,dian4 shi4 ju4
点头,dian3 tou2
掉,diao4
调查,diao4 cha2
低价,di1 jia4
订,ding4
定,ding4
地球,di4 qiu2
低温,di1 wen1
底下,di3 xia5
低于,di1 yu2
地址,di4 zhi3
东部,dong1 bu4
动车
动作,dong4 zuo4
短信,duan3 xin4
堵车,du3 che1
队,dui4
对方,dui4 fang1
对面,dui4 mian4
对于,dui4 yu2
队员,dui4 yuan2
队长,dui4 zhang3
度假,du4 jia4
顿,dun4
多么,duo1 me5
多数,duo1 shu4
多样,duo1 yang4
读者,du2 zhe3
肚子,du4 zi5
而,er2
儿童,er2 tong2
法,fa3
发出,fa1 chu1
